timestamp,operation,execution_time_ms,memory_mb,network_latency_ms
2025-11-14T13:06:52.914414700+05:30,READ_ALL,9.687299999999999,-2980.0,234.33
2025-11-14T13:06:52.919804700+05:30,READ_ALL,2.7517,-1524.0,234.33
2025-11-14T13:06:52.926356300+05:30,READ_ALL,2.9255,-2968.0,234.33
2025-11-14T13:06:52.938883600+05:30,READ_ALL,25.372700000000002,-2108.0,234.33
2025-11-14T13:06:52.938460100+05:30,READ_ALL,2.7056,-2104.0,234.33
2025-11-14T13:06:53.162049600+05:30,READ_ALL,16.6765,756.0,234.33
2025-11-14T13:06:53.162127500+05:30,READ_ALL,0.5815,1484.0,234.33
2025-11-14T13:06:53.173443100+05:30,READ_ALL,2.1271,-692.0,234.33
2025-11-14T13:06:53.173931300+05:30,READ_ALL,2.1444,-692.0,234.33
2025-11-14T13:06:53.419942800+05:30,READ_ALL,15.093,220.0,234.33
2025-11-14T13:06:53.419747+05:30,READ_ALL,15.163599999999999,220.0,234.33
2025-11-14T13:06:53.419749500+05:30,READ_ALL,1.7586,220.0,234.33
2025-11-14T13:06:53.437514300+05:30,READ_ALL,30.7434,-948.0,234.33
2025-11-14T13:06:53.698536300+05:30,READ_ALL,1.2623,-1968.0,234.33
2025-11-14T13:06:53.706792700+05:30,READ_ALL,5.958,-1976.0,234.33
2025-11-14T13:06:53.742726500+05:30,READ_ALL,21.9342,188.0,234.33
2025-11-14T13:06:53.742771700+05:30,READ_ALL,21.9309,188.0,234.33
2025-11-14T13:06:53.743190800+05:30,READ_ALL,1.0752,188.0,234.33
2025-11-14T13:06:53.883270700+05:30,READ_ALL,0.9523999999999999,-680.0,234.33
2025-11-14T13:06:53.906665400+05:30,READ_ALL,1.0514000000000001,188.0,234.33
2025-11-14T13:06:53.955019+05:30,READ_ALL,1.0371,-936.0,234.33
2025-11-14T13:06:54.161199700+05:30,READ_ALL,0.8308,40.0,234.33
2025-11-14T13:06:54.186240300+05:30,READ_ALL,1.2059,1104.0,234.33
2025-11-14T13:06:54.186217800+05:30,READ_ALL,1.1135,1184.0,234.33
2025-11-14T13:06:54.186535400+05:30,READ_ALL,0.9289,-20.0,234.33
2025-11-14T13:06:54.186731700+05:30,READ_ALL,1.0935000000000001,-24.0,234.33
2025-11-14T13:06:54.323352600+05:30,READ_ALL,0.8406,-740.0,234.33
2025-11-14T13:06:54.355556400+05:30,READ_ALL,1.1935,-180.0,234.33
2025-11-14T13:06:54.535527600+05:30,READ_ALL,1.0961,760.0,234.33
2025-11-14T13:06:54.549071100+05:30,READ_ALL,1.1195000000000002,-292.0,234.33
2025-11-14T13:06:54.572103100+05:30,READ_ALL,1.2922,684.0,234.33
2025-11-14T13:06:54.572084600+05:30,READ_ALL,0.9033,-304.0,234.33
2025-11-14T13:06:54.596436400+05:30,READ_ALL,1.1467999999999998,-16.0,234.33
2025-11-14T13:06:54.719906300+05:30,READ_ALL,1.0488,16.0,234.33
2025-11-14T13:06:54.738625900+05:30,READ_ALL,1.0665,-808.0,234.33
2025-11-14T13:06:54.776731500+05:30,READ_ALL,1.1952,-756.0,234.33
2025-11-14T13:07:24.977437800+05:30,READ_ALL,1.1224,20.0,0.0
2025-11-14T13:07:25.154544900+05:30,READ_ALL,0.8143,-4.0,176.92
2025-11-14T13:07:25.435182800+05:30,READ_ALL,0.7033,-3452.0,176.92
2025-11-14T13:07:25.441892600+05:30,READ_ALL,2.7745,-1316.0,176.92
2025-11-14T13:07:25.441900900+05:30,READ_ALL,0.7097,-1316.0,176.92
2025-11-14T13:07:25.450542400+05:30,READ_ALL,3.216,-2744.0,176.92
2025-11-14T13:07:25.450897+05:30,READ_ALL,10.033900000000001,-2744.0,176.92
2025-11-14T13:07:25.653717900+05:30,READ_ALL,1.1258,-572.0,176.92
2025-11-14T13:07:25.653897200+05:30,READ_ALL,0.6388,-2068.0,176.92
2025-11-14T13:07:25.659957300+05:30,READ_ALL,0.7939,-964.0,176.92
2025-11-14T13:07:25.696645800+05:30,READ_ALL,0.9182,576.0,176.92
2025-11-14T13:07:25.867219300+05:30,READ_ALL,0.829,764.0,176.92
2025-11-14T13:07:25.867031500+05:30,READ_ALL,1.0031,-716.0,176.92
2025-11-14T13:07:25.875342500+05:30,READ_ALL,0.7627,-1480.0,176.92
2025-11-14T13:07:25.898311+05:30,READ_ALL,1.3504,-648.0,176.92
2025-11-14T13:07:26.136437600+05:30,READ_ALL,0.6662,-4124.0,176.92
2025-11-14T13:07:26.141846100+05:30,READ_ALL,1.3345,-4848.0,176.92
2025-11-14T13:07:26.159934+05:30,READ_ALL,17.1142,-4500.0,176.92
2025-11-14T13:07:26.167840200+05:30,READ_ALL,1.4275,-3472.0,176.92
2025-11-14T13:07:26.181634300+05:30,READ_ALL,33.5945,-4076.0,176.92
2025-11-14T13:07:26.323066500+05:30,READ_ALL,0.8785000000000001,-1952.0,176.92
